"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","登录成功","testcase.Single.UserManagement","Wed Jun 25 08:20:25 CST 2025","passed","Wed Jun 25 08:20:25 CST 2025","TestUserManager","test_user_login","",""
"","124","3修改课程","testcase.Business Scenario","Wed Jun 25 08:20:36 CST 2025","passed","Wed Jun 25 08:20:36 CST 2025","TestEBusinessScenario","test_course_scenario","",""
"
        测试修改课程接口
        注意：此测试依赖新增课程测试提取的course_id
        ","21","修改课程价格验证","testcase.Single.CourseManagement","Wed Jun 25 08:20:45 CST 2025","passed","Wed Jun 25 08:20:45 CST 2025","TestCourseSave","test_course_save","",""
"
        测试新增课程接口
        ","128","1.新增课程成功","testcase.Single.CourseManagement","Wed Jun 25 08:20:44 CST 2025","passed","Wed Jun 25 08:20:44 CST 2025","TestCourseSave","test_course_save","",""
"","38","14.搜索不存在的用户","testcase.Single.UserManagement","Wed Jun 25 08:20:28 CST 2025","passed","Wed Jun 25 08:20:28 CST 2025","TestUserManager","test_user_find","",""
"","232","4.查询用户组合权限-权限管理员+普通用户","testcase.Business Scenario","Wed Jun 25 08:20:30 CST 2025","passed","Wed Jun 25 08:20:30 CST 2025","TestUserManager","test_user_permissions","",""
"","5","4.缺少必填参数currentPage","testcase.Single.UserManagement","Wed Jun 25 08:20:27 CST 2025","passed","Wed Jun 25 08:20:27 CST 2025","TestUserManager","test_user_find","",""
"
        测试修改课程接口
        注意：此测试依赖新增课程测试提取的course_id
        ","30","修改课程使用无效ID","testcase.Single.CourseManagement","Wed Jun 25 08:20:45 CST 2025","passed","Wed Jun 25 08:20:45 CST 2025","TestCourseSave","test_course_save","",""
"","255","1.正常查询第一页用户列表","testcase.Single.UserManagement","Wed Jun 25 08:20:26 CST 2025","passed","Wed Jun 25 08:20:26 CST 2025","TestUserManager","test_user_find","",""
"
        测试新增课程接口
        ","14","新增课程长课程名称50字符","testcase.Single.CourseManagement","Wed Jun 25 08:20:44 CST 2025","passed","Wed Jun 25 08:20:44 CST 2025","TestCourseSave","test_course_save","",""
"
        测试新增课程接口
        ","31","新增课程长课程名称51字符","testcase.Single.CourseManagement","Wed Jun 25 08:20:44 CST 2025","passed","Wed Jun 25 08:20:44 CST 2025","TestCourseSave","test_course_save","",""
"
        测试修改课程接口
        注意：此测试依赖新增课程测试提取的course_id
        ","33","修改不存在的课程","testcase.Single.CourseManagement","Wed Jun 25 08:20:44 CST 2025","passed","Wed Jun 25 08:20:44 CST 2025","TestCourseSave","test_course_save","",""
"","116","密码为空","testcase.Single.UserManagement","Wed Jun 25 08:20:26 CST 2025","passed","Wed Jun 25 08:20:26 CST 2025","TestUserManager","test_user_login","",""
"
        测试新增课程接口
        ","20","新增课程错误的Content-Type头","testcase.Single.CourseManagement","Wed Jun 25 08:20:44 CST 2025","passed","Wed Jun 25 08:20:44 CST 2025","TestCourseSave","test_course_save","",""
"
        测试新增课程接口
        ","18","新增课程缺少必填字段previewFirstField","testcase.Single.CourseManagement","Wed Jun 25 08:20:44 CST 2025","passed","Wed Jun 25 08:20:44 CST 2025","TestCourseSave","test_course_save","",""
"","86","3.正常搜索-组合条件","testcase.Single.UserManagement","Wed Jun 25 08:20:27 CST 2025","passed","Wed Jun 25 08:20:27 CST 2025","TestUserManager","test_user_find","",""
"
        测试修改课程接口
        注意：此测试依赖新增课程测试提取的course_id
        ","133","修改课程基本信息","testcase.Single.CourseManagement","Wed Jun 25 08:20:44 CST 2025","passed","Wed Jun 25 08:20:44 CST 2025","TestCourseSave","test_course_save","",""
"
        测试修改课程接口
        注意：此测试依赖新增课程测试提取的course_id
        ","41","修改课程缺少必填字段previewFirstField","testcase.Single.CourseManagement","Wed Jun 25 08:20:45 CST 2025","passed","Wed Jun 25 08:20:45 CST 2025","TestCourseSave","test_course_save","",""
"","16","8.缺少必填参数pageSize","testcase.Single.UserManagement","Wed Jun 25 08:20:28 CST 2025","passed","Wed Jun 25 08:20:28 CST 2025","TestUserManager","test_user_find","",""
"
        测试修改课程接口
        注意：此测试依赖新增课程测试提取的course_id
        ","29","修改课程错误的Authorization头","testcase.Single.CourseManagement","Wed Jun 25 08:20:45 CST 2025","passed","Wed Jun 25 08:20:45 CST 2025","TestCourseSave","test_course_save","",""
"","16","9.请求参数为空","testcase.Single.UserManagement","Wed Jun 25 08:20:28 CST 2025","passed","Wed Jun 25 08:20:28 CST 2025","TestUserManager","test_user_find","",""
"","106","4更新课程状态（上架/下架）","testcase.Business Scenario","Wed Jun 25 08:20:36 CST 2025","passed","Wed Jun 25 08:20:36 CST 2025","TestEBusinessScenario","test_course_scenario","",""
"","106","获取登录态-课程管理员","testcase.Business Scenario","Wed Jun 25 08:20:29 CST 2025","passed","Wed Jun 25 08:20:29 CST 2025","TestUserManager","test_user_permissions","",""
"","95","2.查询第二页用户列表","testcase.Single.UserManagement","Wed Jun 25 08:20:26 CST 2025","passed","Wed Jun 25 08:20:26 CST 2025","TestUserManager","test_user_find","",""
"","156","5.查询用户权限-无权限用户","testcase.Business Scenario","Wed Jun 25 08:20:30 CST 2025","broken","Wed Jun 25 08:20:30 CST 2025","TestUserManager","test_user_permissions","",""
"","141","1查询所有课程","testcase.Business Scenario","Wed Jun 25 08:20:36 CST 2025","passed","Wed Jun 25 08:20:36 CST 2025","TestEBusinessScenario","test_course_scenario","",""
